Group,VIDEO_1,VIDEO_2,PT_A1A,VIDEO_3,PT_B2A,VIDEO_6,VIDEO_10,VIDEO_10_contd,PT_A1B,PT_B2B,Sample_CA_Quiz,CA1_Q1_10,CA1_Q2_20,CA2_Q3_15,CA1_Q4_10,CA1_Q5_10,CA1_Q6_10,CA1_Q7_15,CA1_Q8_10,CA1_Result
A,100,100,100,100,NA,100,100,100,100,NA,100,10,0,15,6.7,0,5,7.5,0,44.2
A,100,100,56.3,100,NA,100,NA,NA,NA,NA,NA,7.5,12,15,3.3,10,10,3.8,0,61.6
A,100,NA,79.2,100,NA,100,100,NA,72,NA,69.1,10,20,15,6.7,0,10,15,0,76.7
A,100,100,41,100,NA,100,100,NA,69.5,NA,47.3,7.5,16,15,0,10,0,15,0,63.5
A,100,100,91.7,100,NA,100,NA,100,72.9,NA,92.7,5,16,15,0,0,0,3.8,5,44.8
A,100,100,100,100,NA,100,100,100,NA,NA,100,7.5,0,15,6.7,10,0,15,5,59.2
A,NA,NA,50,NA,NA,100,NA,100,82.6,NA,58.2,10,20,15,0,5,10,0,0,60
A,NA,NA,60.4,NA,NA,66.67,100,100,NA,NA,NA,10,8,12,3.3,10,10,3.8,10,67.1
A,100,100,100,100,NA,100,100,100,86.5,NA,100,10,16,15,10,10,0,15,0,76
A,100,100,NA,100,NA,NA,100,100,87,NA,NA,7.5,20,15,10,5,10,7.5,5,80
A,100,100,61.1,100,NA,100,100,100,70.5,NA,100,7.5,20,15,0,5,5,15,10,77.5
A,100,100,91.7,100,NA,100,100,NA,73.3,NA,96.4,10,13.3,12,0,10,0,7.5,0,52.8
A,NA,NA,76.4,NA,NA,66.67,NA,NA,NA,NA,NA,7.5,5.3,15,6.7,5,5,11.3,10,65.8
A,100,100,100,100,NA,100,100,100,NA,NA,92.7,7.5,20,15,0,5,10,7.5,10,75
A,100,100,70.8,100,NA,100,100,100,NA,NA,96.4,7.5,12,15,6.7,0,0,0,0,41.2
A,100,100,68.1,100,NA,96.67,100,100,22.1,NA,40,10,12,15,0,0,0,0,0,37
A,100,100,51.4,100,NA,100,100,100,82,NA,61.8,7.5,9.3,15,3.3,5,0,11.3,0,51.4
A,100,100,100,100,NA,100,100,100,83.2,NA,100,7.5,20,15,6.7,5,5,15,0,74.2
A,100,100,75,100,NA,100,100,100,81.4,NA,100,10,9.3,15,6.7,0,5,7.5,0,53.5
A,100,100,55.6,100,NA,100,100,100,48.6,NA,85.5,10,0,12,6.7,0,0,7.5,0,36.2
A,NA,NA,38.2,100,NA,100,100,NA,NA,NA,NA,5,9.3,15,6.7,0,10,15,10,71
A,100,100,61.1,100,NA,100,NA,NA,71.7,NA,100,10,13.3,15,6.7,10,5,3.8,10,73.8
A,100,100,66.7,100,NA,100,88.89,100,82.9,NA,100,7.5,13.3,15,10,10,0,11.3,5,72.1
A,100,100,59.7,100,NA,100,66.67,100,76.9,NA,87.3,7.5,13.3,15,6.7,5,10,15,0,72.5
A,NA,NA,45.8,100,NA,100,NA,NA,NA,NA,NA,7.5,16,12,0,5,10,3.8,10,64.3
A,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,10,16,15,3.3,5,5,3.8,10,68.1
A,100,100,44.4,100,NA,100,100,100,66.8,NA,72.7,7.5,16,12,6.7,0,10,15,0,67.2
A,100,100,88.9,100,NA,NA,NA,NA,76.4,NA,NA,10,5.3,15,6.7,5,0,3.8,10,55.8
A,100,100,100,100,NA,100,100,100,96.9,NA,100,10,20,15,0,5,0,15,0,65
A,NA,100,37.5,100,NA,NA,NA,NA,NA,NA,100,10,16,15,0,0,5,3.8,10,59.8
