Group,VIDEO_1,VIDEO_2,VIDEO_3,PT_B2A,VIDEO_6,VIDEO_10,VIDEO_10_contd,PT_B2B,Sample_CA_Quiz,CA1_Q1_10,CA1_Q2_20,CA2_Q3_15,CA1_Q4_10,CA1_TP1,CA1_Q5_10,CA1_Q6_10,CA1_Q7_15,CA1_Q8_10,CA1_TP2,CA1_Result
B,100,100,100,46.8,NA,NA,100,57.7,43.6,7.5,12,15,6.7,41.2,5,10,15,0,30,71.2
B,66.67,100,100,76.2,NA,100,100,51.9,92.7,7.5,0,15,0,22.5,5,5,7.5,5,22.5,45
B,100,100,100,61.9,NA,NA,100,NA,NA,7.5,0,15,0,22.5,0,5,11.3,5,21.3,43.8
B,100,100,100,55.8,100,100,100,74.4,NA,10,5.3,15,3.3,33.6,5,10,15,0,30,63.6
B,NA,NA,NA,86.5,NA,NA,NA,63.5,78.2,0,20,15,10,45,5,5,7.5,0,17.5,62.5
B,100,100,100,67.3,100,100,100,66.2,NA,5,12,15,0,32,5,5,3.8,0,13.8,45.8
B,NA,NA,100,60,100,100,100,NA,3.6,5,12,15,0,32,5,0,11.3,0,16.3,48.3
B,100,100,100,48.5,100,100,100,61.5,60,7.5,9.3,15,3.3,35.1,5,5,3.8,10,23.8,58.9
B,NA,100,100,73.7,NA,100,100,65.4,47.3,10,20,15,6.7,51.7,5,10,11.3,10,36.3,88
B,66.67,100,100,77.3,100,100,100,NA,NA,10,0,15,3.3,28.3,0,10,0,0,10,38.3
B,100,100,100,65.8,NA,NA,NA,82.7,61.8,7.5,16,15,6.7,45.2,0,5,15,10,30,75.2
B,NA,NA,NA,NA,NA,NA,NA,74.4,81.8,10,0,15,3.3,28.3,0,0,15,0,15,43.3
B,NA,100,100,NA,100,NA,NA,46.2,89.1,2.5,20,12,3.3,37.8,10,10,11.3,0,31.3,69.1
B,100,100,100,54.2,100,66.67,NA,42.9,96.4,2.5,16,15,6.7,40.2,5,10,7.5,0,22.5,62.7
B,66.67,100,100,64.5,100,NA,NA,100,100,10,20,15,6.7,51.7,10,10,15,10,45,96.7
B,100,100,100,56.8,100,NA,NA,NA,96.4,7.5,16,12,0,35.5,0,10,3.8,0,13.8,49.3
B,66.67,100,100,71.2,100,100,100,50,89.1,10,13.3,15,0,38.3,0,5,11.3,0,16.3,54.6
B,100,NA,NA,92.3,NA,NA,NA,NA,100,10,9.3,15,6.7,41,0,10,7.5,10,27.5,68.5
B,100,100,100,78.8,100,100,100,80.8,92.7,7.5,13.3,15,0,35.8,0,10,11.3,10,31.3,67.1
B,100,100,100,71.2,100,100,100,65.4,50.9,7.5,20,15,6.7,49.2,0,5,15,0,20,69.2
B,66.67,100,100,69.6,100,100,100,NA,89.1,10,13.3,15,6.7,45,10,5,15,10,40,85
B,66.67,100,100,75,NA,100,100,61.5,89.1,7.5,1.3,15,0,23.8,10,5,3.8,10,28.8,52.6
B,100,100,100,100,100,100,100,92.3,74.5,7.5,16,15,0,38.5,10,0,11.3,5,26.3,64.8
B,100,100,100,88.5,100,100,100,88.5,100,5,20,15,10,50,10,10,15,0,35,85
B,100,100,100,84.6,100,83.33,100,81.4,100,7.5,9.3,15,0,31.8,5,0,7.5,0,12.5,44.3
B,100,100,100,11.5,NA,NA,NA,NA,NA,7.5,13.3,15,0,35.8,0,10,0,5,15,50.8
B,100,100,100,63.5,100,100,100,NA,NA,7.5,15,15,3.3,40.8,10,10,11.3,5,36.3,77.1
B,100,100,100,80.8,83.33,83.33,100,85.8,100,7.5,0,15,0,22.5,5,5,7.5,0,17.5,40
B,100,100,100,86.5,100,100,100,75,100,10,20,15,6.7,51.7,10,10,15,10,45,96.7
B,100,100,100,42.9,100,100,100,57.7,96.4,2.5,0,15,6.7,24.2,10,0,15,10,35,59.2
B,100,100,100,51.9,100,100,100,67.3,67.3,5,12,9,0,26,5,0,0,0,5,31
B,NA,100,100,70.5,100,100,100,86.5,NA,10,9.3,15,0,34.3,5,10,15,0,30,64.3
B,100,100,100,80.8,100,NA,NA,96.2,100,7.5,20,15,6.7,49.2,5,5,15,10,35,84.2
B,100,100,100,72.8,100,100,100,62.2,40,0,0,15,3.3,18.3,10,0,3.8,5,18.8,37.1
